,response latency,response window,reward window,early lick times,stim-evoked lick times,reward-evoked lick times,ITI-evoked lick times,early lick?,trialType,validated outcomes,previous outcome,trial type
30,0.7699500000000001,1.23005,1.9832,[],"[0.7699500000000001, 0.8007499999999999, 0.9384999999999999, 0.9902500000000001, 1.12845, 1.1837, 1.2937000000000003, 1.3514999999999997, 1.4795499999999997, 1.5370499999999998, 1.64325, 1.7175500000000001, 1.8110999999999997, 1.86205, 1.9631999999999996]","[2.0168, 2.1155999999999997, 2.16575, 2.3789999999999996, 2.4162, 2.4949500000000002, 2.5412999999999997, 2.62965, 2.6666999999999996, 2.75115, 2.7999, 2.8875, 2.9366000000000003, 3.0212000000000003, 3.07515, 3.1670499999999997, 3.2183, 3.30785, 3.3621, 3.45845, 3.51675, 3.6052999999999997, 3.6589, 3.7531, 3.80635, 3.8964999999999996, 3.9617500000000003]","[4.0571, 4.121, 4.2192, 4.27545, 4.37865, 4.4342, 4.5306, 4.59965, 4.7006, 4.7649, 4.7796, 4.789, 4.87945, 4.94875, 4.96475, 4.97195]",False,G,hit,hit,cHIT
31,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
32,0.2792500000000002,1.7207499999999998,1.9199,"[-0.44384999999999986, -0.39480000000000004, -0.26750000000000007, -0.21024999999999983, -0.07894999999999985, -0.028449999999999864]","[0.2792500000000002, 0.32585, 0.44289999999999985, 0.48165000000000013, 0.5661, 0.6206499999999999, 0.7584, 0.7851499999999998, 1.0728999999999997, 1.09945, 1.2662500000000003, 1.2721, 1.4128999999999996, 1.46115, 1.5814500000000002, 1.6344500000000002, 1.7445000000000004, 1.7963500000000003, 1.9001000000000001, 1.9509499999999997]","[2.0801, 2.1223, 2.3472, 2.3848000000000003, 2.4631, 2.5067500000000003, 2.5888999999999998, 2.6298000000000004, 2.7166499999999996, 2.7662500000000003, 2.84075, 2.88995, 2.9781000000000004, 3.0271999999999997, 3.11655, 3.1734, 3.2581499999999997, 3.3216, 3.4162, 3.46455, 3.5509500000000003, 3.6031000000000004, 3.7037500000000003, 3.7622999999999998, 3.85515, 3.9056499999999996]","[4.0016, 4.05355, 4.1582, 4.22335, 4.31835, 4.3772, 4.48945, 4.5562, 4.6626, 4.72665, 4.85755, 4.90725]",True,G,early lick,CR,early lick
33,0.0,0.0,1.2693000000000003,[],[],"[2.7306999999999997, 2.7489999999999997]",[],False,N,CR,early lick,post-mistake-CATCH
34,0.8832,1.1168,1.9793000000000005,[],"[0.8832, 0.9341499999999998, 1.08845, 1.13, 1.28545, 1.3244499999999997, 1.4647500000000004, 1.5115999999999996, 1.6315499999999998, 1.6884499999999996, 1.8032500000000002, 1.8516000000000004, 1.9678500000000003]","[2.0206999999999997, 2.13805, 2.1944, 2.2769500000000003, 2.3080999999999996, 2.3876, 2.4334499999999997, 2.50765, 2.5561, 2.64365, 2.68855, 2.7663, 2.81395, 2.89825, 2.9485, 3.0298, 3.0851499999999996, 3.1832000000000003, 3.2344999999999997, 3.32095, 3.3755499999999996, 3.4717000000000002, 3.5250500000000002, 3.6185, 3.67795, 3.7672999999999996, 3.83535, 3.8496499999999996, 3.85755, 3.9256, 3.98705]","[4.0843, 4.1372, 4.24535, 4.3101, 4.3983, 4.46555, 4.58345, 4.6512, 4.73955, 4.8053, 4.9287, 4.99285]",False,G,hit,CR,nHIT
35,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
36,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
37,0.6132,1.3868,1.9445,[],"[0.6132, 0.6508500000000002, 0.7746, 0.8187500000000001, 0.9506999999999999, 0.9918, 1.1159999999999997, 1.1645000000000003, 1.2789000000000001, 1.3423999999999996, 1.44165, 1.4916, 1.5907999999999998, 1.6452, 1.7499500000000001, 1.7975500000000002, 1.8952499999999999, 1.94665]","[2.0555000000000003, 2.1087, 2.3161500000000004, 2.3491, 2.4299999999999997, 2.4753999999999996, 2.5520500000000004, 2.5976, 2.67955, 2.7288500000000004, 2.8070000000000004, 2.8581000000000003, 2.9542, 3.00535, 3.0920500000000004, 3.1471, 3.2406499999999996, 3.29455, 3.3836000000000004, 3.4398999999999997, 3.5362, 3.5925000000000002, 3.69095, 3.74915, 3.83465, 3.8925, 3.9891500000000004]","[4.0537, 4.1456, 4.20675, 4.3098, 4.3688, 4.4678, 4.53685, 4.54765, 4.5601, 4.6284, 4.6947, 4.7102, 4.72205, 4.8133, 4.8732]",False,G,hit,CR,nHIT
38,0.6189499999999999,1.38105,1.90515,[],"[0.6189499999999999, 0.6663000000000001, 0.8003499999999999, 0.84375, 0.9739499999999999, 1.0227000000000004, 1.1441999999999997, 1.2041500000000003, 1.3203500000000004, 1.3758999999999997, 1.4896000000000003, 1.5471000000000004, 1.6424000000000003, 1.7071500000000004, 1.7960500000000001, 1.8434, 1.9375999999999998, 1.98935]","[2.09485, 2.1495499999999996, 2.3748500000000003, 2.39515, 2.48365, 2.5285, 2.6075, 2.65125, 2.73595, 2.7878, 2.8726000000000003, 2.92415, 3.0141, 3.0658000000000003, 3.15395, 3.2111, 3.3084, 3.372, 3.38795, 3.39855, 3.4722, 3.5272500000000004, 3.6289499999999997, 3.68335, 3.7750500000000002, 3.8327999999999998, 3.9326, 3.9910500000000004]","[4.0928, 4.15585, 4.2534, 4.3056, 4.4061, 4.4635, 4.564, 4.661, 4.7431, 4.8095, 4.82325, 4.8365, 4.94415]",False,G,hit,hit,cHIT
39,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
40,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
41,0.4512499999999999,1.54875,1.9571500000000004,"[-0.4756499999999999, -0.4385500000000002, -0.27070000000000016, -0.21819999999999995, -0.09640000000000004, -0.052200000000000024]","[0.45124999999999993, 0.4756999999999998, 0.58325, 0.6386500000000002, 0.75345, 0.8016999999999999, 0.91785, 0.9763999999999999, 1.0700000000000003, 1.1261, 1.2163000000000004, 1.2971000000000004, 1.37695, 1.4428999999999998, 1.5412999999999997, 1.5895000000000001, 1.6944, 1.7575000000000003, 1.8422, 1.8898000000000001, 1.99965]","[2.0428499999999996, 2.4019000000000004, 2.4387, 2.5196500000000004, 2.5653499999999996, 2.65235, 2.69785, 2.78315, 2.82615, 2.91535, 2.9661999999999997, 3.0568999999999997, 3.1083499999999997, 3.19545, 3.2457000000000003, 3.3346, 3.38635, 3.47675, 3.52665, 3.6231999999999998, 3.6716499999999996, 3.7718999999999996, 3.8202, 3.9155499999999996, 3.9657]","[4.06485, 4.1189, 4.22875, 4.2782, 4.3854, 4.44675, 4.5469, 4.5981, 4.7039, 4.76375, 4.88545, 4.94125]",True,G,early lick,CR,early lick
42,0.0,0.0,1.2334500000000004,[],[],"[2.7665499999999996, 2.8108000000000004, 2.9478, 2.9917999999999996, 3.12995, 3.1816000000000004, 3.3213999999999997, 3.3735999999999997, 3.5183, 3.5633999999999997, 3.68855, 3.7408, 3.85985, 3.91195]","[4.02415, 4.0801, 4.1852, 4.24965, 4.3498, 4.4064, 4.50005, 4.5493, 4.64595, 4.7002, 4.80105, 4.8548, 4.95785]",False,N,CR,early lick,post-mistake-CATCH
43,0.5827499999999999,1.41725,1.94845,[],"[0.5827499999999999, 0.61625, 0.7536, 0.8038500000000002, 0.9352, 0.9870999999999999, 1.1119000000000003, 1.1776999999999997, 1.1905000000000001, 1.2004000000000001, 1.3094999999999999, 1.3606999999999996, 1.5068000000000001, 1.5619500000000004, 1.6569000000000003, 1.70805, 1.8331999999999997, 1.888, 1.9962999999999997]","[2.0515499999999998, 2.15405, 2.2040499999999996, 2.3991, 2.44015, 2.5185500000000003, 2.5660999999999996, 2.6412000000000004, 2.68835, 2.7737499999999997, 2.8236499999999998, 2.9090499999999997, 2.96305, 3.0496499999999997, 3.1018499999999998, 3.1893000000000002, 3.24475, 3.3388999999999998, 3.3920500000000002, 3.4871499999999997, 3.5399000000000003, 3.6351000000000004, 3.6853999999999996, 3.7746500000000003, 3.82665, 3.93095, 3.9843]","[4.0924, 4.1417, 4.2419, 4.3007, 4.38815, 4.44265, 4.5514, 4.61975, 4.71525, 4.78245, 4.8917, 4.95015]",False,G,hit,CR,nHIT
44,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
45,0.6225999999999998,1.3774000000000002,1.90065,[],"[0.6225999999999998, 0.6727500000000002, 0.7807, 0.8329499999999999, 0.9559000000000002, 1.00765, 1.12045, 1.173, 1.2858, 1.3422, 1.4564500000000002, 1.52665, 1.6254, 1.67645, 1.77745, 1.8308999999999997, 1.9377000000000004, 1.9916999999999998]","[2.0993500000000003, 2.1528, 2.3706500000000004, 2.4117499999999996, 2.4959, 2.5332999999999997, 2.6205999999999996, 2.6715, 2.74805, 2.7992999999999997, 2.8825000000000003, 2.9349499999999997, 3.0309999999999997, 3.0805, 3.16625, 3.22095, 3.3141499999999997, 3.3666, 3.4581999999999997, 3.51365, 3.6041999999999996, 3.6584000000000003, 3.7621, 3.8128, 3.9151499999999997, 3.96875]","[4.06985, 4.1207, 4.22565, 4.2761, 4.372, 4.4298, 4.5254, 4.5964, 4.69995, 4.7708, 4.8884, 4.93485]",False,G,hit,CR,nHIT
46,0.76465,1.23535,1.99435,[],"[0.76465, 0.8164500000000001, 0.9388999999999998, 0.9857, 1.1181999999999999, 1.1691500000000001, 1.2946, 1.3474000000000004, 1.45385, 1.5065999999999997, 1.6214000000000004, 1.6723499999999998, 1.7871499999999996, 1.8491, 1.9496000000000002]","[2.00565, 2.1068499999999997, 2.1601, 2.2764499999999996, 2.28925, 2.37, 2.4036999999999997, 2.48815, 2.529, 2.6148499999999997, 2.66535, 2.7427, 2.79805, 2.8845, 2.9329, 3.02355, 3.0780000000000003, 3.1628999999999996, 3.22745, 3.3179, 3.3747999999999996, 3.47265, 3.5259, 3.6239999999999997, 3.67375, 3.7666000000000004, 3.8245500000000003, 3.9147, 3.97035]","[4.07375, 4.12335, 4.21745, 4.291, 4.38015, 4.44415, 4.54675, 4.6133, 4.62805, 4.63885, 4.74085, 4.79615, 4.9162, 4.9834]",False,G,hit,hit,cHIT
47,0.0,0.0,0.0,[],[],[],[],False,N,CR,hit,nCATCH
48,0.0,0.0,0.0,[],[],[],[],False,N,CR,CR,cCATCH
